type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V1,0,I0020,0,0,0,2
V1,0,I0021,0,10,0,4
V1,0,I0022,0,0,4,2
V1,0,I0023,8,0,0,5
V1,0,I0024,0,0,8,2
V1,0,I0000,12,0,0,2
V1,0,I0001,0,0,12,4
V1,0,I0002,12,8,0,0
V1,0,I0003,12,0,6,0
V1,0,I0004,8,0,8,2
V1,0,I0005,10,0,8,2
V1,0,I0006,0,10,8,3
V1,0,I0007,0,12,8,3
V1,1,I0025,0,0,0,2
V1,1,I0026,0,10,0,4
V1,1,I0027,0,0,4,2
V1,1,I0028,8,0,0,5
V1,1,I0029,0,0,8,2
V1,1,I0008,12,0,0,2
V1,1,I0009,0,0,12,4
V1,1,I0010,12,8,0,0
V1,1,I0011,12,0,6,0
V1,1,I0012,8,0,8,2
V1,1,I0013,10,0,8,2
V1,1,I0014,0,10,8,3
V1,1,I0015,0,12,8,3
V0,2,I0030,0,0,0,2
V0,2,I0031,0,10,0,4
V0,2,I0032,0,0,4,2
V0,2,I0033,8,0,0,5
V0,2,I0034,0,0,8,2
V0,2,I0016,12,0,0,2
V0,2,I0017,0,0,12,4
V0,2,I0018,0,6,12,5
V0,2,I0019,12,8,0,0
V0,3,I0035,0,0,0,2
V0,3,I0036,0,10,0,4
V0,3,I0037,0,0,4,2
V0,3,I0038,8,0,0,5
V0,3,I0039,0,0,8,2
V0,4,I0040,0,0,0,2
V0,4,I0041,0,10,0,4
V0,4,I0042,0,0,4,2
V0,4,I0043,8,0,0,5
V0,4,I0044,0,0,8,2
V0,5,I0045,0,0,0,2
V0,5,I0046,0,10,0,4
V0,5,I0047,0,0,4,2
V0,5,I0048,8,0,0,5
V0,5,I0049,0,0,8,2
V0,6,I0050,0,0,0,2
V0,6,I0051,0,10,0,4
V0,6,I0052,0,0,4,2
V0,6,I0053,8,0,0,5
V0,6,I0054,0,0,8,2
V0,7,I0055,0,0,0,2
V0,7,I0056,0,10,0,4
V0,7,I0057,0,0,4,2
V0,7,I0058,8,0,0,5
V0,7,I0059,0,0,8,2
V0,8,I0060,0,0,0,2
V0,8,I0061,0,10,0,4
V0,8,I0062,0,0,4,2
V0,8,I0063,8,0,0,5
V0,8,I0064,0,0,8,2
V0,9,I0065,0,0,0,2
V0,9,I0066,0,10,0,4
V0,9,I0067,0,0,4,2
V0,9,I0068,8,0,0,5
V0,9,I0069,0,0,8,2
