type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0075,0,0,0,4
V0,0,I0076,0,15,0,1
V0,0,I0077,0,0,5,0
V0,0,I0078,5,0,5,0
V0,0,I0079,10,0,5,0
V0,0,I0080,15,0,0,4
V0,0,I0081,30,0,0,4
V0,0,I0082,15,15,0,1
V0,0,I0083,30,15,0,1
V0,0,I0084,15,0,5,0
V0,0,I0085,20,0,5,0
V0,0,I0086,25,0,5,0
V0,0,I0087,30,0,5,4
V0,0,I0088,30,0,10,4
V0,0,I0089,30,0,15,4
V0,0,I0000,0,15,15,0
V0,0,I0001,10,15,15,0
V0,0,I0002,20,15,15,0
V0,0,I0003,30,15,15,0
V0,1,I0090,0,0,0,4
V0,1,I0091,0,15,0,1
V0,1,I0092,0,0,5,0
V0,1,I0093,5,0,5,0
V0,1,I0094,10,0,5,0
V0,1,I0095,15,0,0,4
V0,1,I0096,30,0,0,4
V0,1,I0097,15,15,0,1
V0,1,I0098,30,15,0,1
V0,1,I0099,15,0,5,0
V0,1,I0100,20,0,5,0
V0,1,I0101,25,0,5,0
V0,1,I0102,30,0,5,4
V0,1,I0035,30,0,10,1
V0,1,I0036,30,5,10,5
V0,1,I0037,30,5,15,5
V0,1,I0004,0,15,15,0
V0,1,I0005,10,15,15,0
V0,1,I0006,20,15,15,0
V0,1,I0007,30,15,15,0
V0,2,I0038,0,0,0,4
V0,2,I0039,0,15,0,1
V0,2,I0040,0,15,10,1
V0,2,I0041,0,0,5,4
V0,2,I0042,0,0,10,0
V0,2,I0043,5,0,10,0
V0,2,I0044,10,0,0,0
V0,2,I0045,10,0,10,0
V0,2,I0046,15,0,0,4
V0,2,I0047,15,15,0,1
V0,2,I0048,15,15,10,1
V0,2,I0049,30,15,0,1
V0,2,I0050,30,15,10,1
V0,2,I0051,25,0,0,4
V0,2,I0052,35,0,0,4
V0,2,I0053,15,0,5,4
V0,2,I0054,15,0,10,0
V0,2,I0055,20,0,10,0
V0,2,I0056,25,0,5,4
V0,2,I0057,35,0,5,4
V0,2,I0058,25,0,10,0
V0,2,I0059,30,0,10,0
V0,2,I0060,35,0,10,4
V0,2,I0061,35,0,15,4
V0,3,I0062,0,0,0,4
V0,3,I0063,0,15,0,1
V0,3,I0064,0,15,10,1
V0,3,I0065,0,0,5,4
V0,3,I0066,0,0,10,0
V0,3,I0067,5,0,10,0
V0,3,I0068,10,0,0,0
V0,3,I0069,10,0,10,0
V0,3,I0070,15,0,0,4
V0,3,I0071,15,15,0,1
V0,3,I0072,15,15,10,1
V0,3,I0073,30,15,0,1
V0,3,I0074,30,15,10,1
V0,3,I0008,25,0,0,0
V0,3,I0009,35,0,0,0
V0,3,I0010,25,5,0,1
V0,3,I0011,30,5,0,1
V0,3,I0012,35,5,0,0
V0,3,I0013,35,10,0,0
V0,3,I0014,15,0,5,0
V0,3,I0015,15,5,5,1
V0,3,I0016,20,5,5,1
V0,3,I0017,15,0,10,4
V0,3,I0018,20,0,10,4
V0,3,I0019,15,5,10,1
V0,3,I0020,15,5,15,1
V0,3,I0021,20,5,10,1
V0,3,I0022,20,5,15,1
V0,3,I0023,25,0,5,0
V0,3,I0024,35,0,5,0
V0,3,I0025,25,5,5,1
V0,3,I0026,30,5,5,1
V0,3,I0027,35,5,5,0
V0,3,I0028,35,10,5,0
V0,3,I0029,25,0,10,4
V0,3,I0030,30,0,10,4
V0,3,I0031,35,0,10,0
V0,3,I0032,35,0,15,0
V0,3,I0033,25,5,10,1
V0,3,I0034,25,5,15,1
