type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0,0,0,4
V0,0,I0106,12,0,0,0
V0,0,I0107,0,0,8,1
V0,0,I0108,0,8,8,1
V0,0,I0045,12,0,12,0
V0,0,I0046,12,8,12,0
V0,0,I0000,0,12,0,5
V0,0,I0155,16,12,0,4
V0,1,I0109,0,0,0,4
V0,1,I0110,12,0,0,0
V0,1,I0111,0,0,8,1
V0,1,I0112,0,8,8,1
V0,1,I0047,12,0,12,0
V0,1,I0048,12,8,12,0
V0,1,I0001,0,12,0,5
V0,1,I0156,16,12,0,4
V0,2,I0113,0,0,0,4
V0,2,I0114,12,0,0,0
V0,2,I0115,0,0,8,1
V0,2,I0116,0,8,8,1
V0,2,I0049,12,0,12,0
V0,2,I0050,12,8,12,0
V0,2,I0002,0,12,0,5
V0,2,I0157,16,12,0,4
V0,3,I0117,0,0,0,4
V0,3,I0118,12,0,0,0
V0,3,I0119,0,0,8,1
V0,3,I0120,0,8,8,1
V0,3,I0051,12,0,12,0
V0,3,I0052,12,8,12,0
V0,3,I0003,0,12,0,5
V0,3,I0158,16,12,0,4
V0,4,I0121,0,0,0,4
V0,4,I0122,12,0,0,0
V0,4,I0123,0,0,8,1
V0,4,I0124,0,8,8,1
V0,4,I0053,12,0,12,0
V0,4,I0054,12,8,12,0
V0,4,I0004,0,12,0,5
V0,4,I0159,16,12,0,4
V0,5,I0125,0,0,0,4
V0,5,I0126,12,0,0,0
V0,5,I0127,0,0,8,1
V0,5,I0128,0,8,8,1
V0,5,I0055,12,0,12,0
V0,5,I0056,12,8,12,0
V0,5,I0005,0,12,0,5
V0,5,I0160,16,12,0,4
V0,6,I0129,0,0,0,4
V0,6,I0130,12,0,0,0
V0,6,I0131,0,0,8,1
V0,6,I0132,0,8,8,1
V0,6,I0057,12,0,12,0
V0,6,I0058,12,8,12,0
V0,6,I0006,0,12,0,5
V0,6,I0161,16,12,0,4
V0,7,I0133,0,0,0,4
V0,7,I0134,12,0,0,0
V0,7,I0135,0,0,8,1
V0,7,I0136,0,8,8,1
V0,7,I0059,12,0,12,0
V0,7,I0060,12,8,12,0
V0,7,I0007,0,12,0,5
V0,7,I0162,16,12,0,4
V0,8,I0137,0,0,0,4
V0,8,I0138,12,0,0,0
V0,8,I0139,0,0,8,1
V0,8,I0140,0,8,8,1
V0,8,I0061,12,0,12,0
V0,8,I0062,12,8,12,0
V0,8,I0008,0,12,0,5
V0,8,I0163,16,12,0,4
V0,9,I0141,0,0,0,4
V0,9,I0142,12,0,0,0
V0,9,I0143,0,0,8,1
V0,9,I0144,0,8,8,1
V0,9,I0063,12,0,12,0
V0,9,I0064,12,8,12,0
V0,9,I0009,0,12,0,5
V0,9,I0164,16,12,0,4
V0,10,I0145,0,0,0,4
V0,10,I0146,12,0,0,0
V0,10,I0147,0,0,8,1
V0,10,I0148,0,8,8,1
V0,10,I0065,12,0,12,0
V0,10,I0066,12,8,12,0
V0,10,I0010,0,12,0,5
V0,10,I0165,16,12,0,4
V0,11,I0149,0,0,0,4
V0,11,I0150,12,0,0,0
V0,11,I0151,0,0,8,1
V0,11,I0152,0,8,8,1
V0,11,I0067,12,0,12,0
V0,11,I0068,12,8,12,0
V0,11,I0011,0,12,0,5
V0,11,I0166,16,12,0,4
V0,12,I0153,0,0,0,4
V0,12,I0154,12,0,0,0
V0,12,I0069,12,0,12,0
V0,12,I0070,12,8,12,0
V0,12,I0071,0,0,8,0
V0,12,I0072,0,8,8,0
V0,12,I0012,0,12,0,5
V0,12,I0013,0,0,16,0
V0,12,I0014,8,0,8,4
V0,12,I0167,16,12,0,4
V0,12,I0168,8,0,16,1
V0,13,I0073,0,0,0,0
V0,13,I0074,0,8,0,0
V0,13,I0075,8,0,0,0
V0,13,I0076,8,8,0,0
V0,13,I0077,0,0,8,0
V0,13,I0078,0,8,8,0
V0,13,I0079,8,0,8,0
V0,13,I0080,8,8,8,0
