type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0,0,0,1
V0,0,I0000,0,0,12,1
V0,0,I0045,12,0,0,0
V0,1,I0106,0,0,0,1
V0,1,I0001,0,0,12,1
V0,1,I0046,12,0,0,0
V0,2,I0107,0,0,0,1
V0,2,I0002,0,0,12,1
V0,2,I0047,12,0,0,0
V0,3,I0108,0,0,0,1
V0,3,I0003,0,0,12,1
V0,3,I0048,12,0,0,0
V0,4,I0109,0,0,0,1
V0,4,I0004,0,0,12,1
V0,4,I0049,12,0,0,0
V0,5,I0110,0,0,0,1
V0,5,I0005,0,0,12,1
V0,5,I0050,12,0,0,0
V0,6,I0111,0,0,0,1
V0,6,I0006,0,0,12,1
V0,6,I0051,12,0,0,0
V0,7,I0112,0,0,0,1
V0,7,I0007,0,0,12,1
V0,7,I0052,12,0,0,0
V0,8,I0113,0,0,0,1
V0,8,I0008,0,0,12,1
V0,8,I0053,12,0,0,0
V0,9,I0114,0,0,0,1
V0,9,I0009,0,0,12,1
V0,9,I0054,12,0,0,0
V0,10,I0115,0,0,0,1
V0,10,I0010,0,0,12,1
V0,10,I0055,12,0,0,0
V0,11,I0116,0,0,0,1
V0,11,I0011,0,0,12,1
V0,11,I0056,12,0,0,0
V0,12,I0117,0,0,0,1
V0,12,I0012,0,0,12,1
V0,12,I0057,12,0,0,0
V0,13,I0118,0,0,0,1
V0,13,I0013,0,0,12,1
V0,13,I0058,12,0,0,0
V0,14,I0119,0,0,0,1
V0,14,I0014,0,0,12,1
V0,14,I0059,12,0,0,0
V0,15,I0120,0,0,0,1
V0,15,I0015,0,0,12,1
V0,15,I0060,12,0,0,0
V0,16,I0121,0,0,0,1
V0,16,I0016,0,0,12,1
V0,16,I0061,12,0,0,0
V0,17,I0122,0,0,0,1
V0,17,I0017,0,0,12,1
V0,17,I0062,12,0,0,0
V0,18,I0123,0,0,0,1
V0,18,I0018,0,0,12,1
V0,18,I0063,12,0,0,0
V0,19,I0124,0,0,0,1
V0,19,I0019,0,0,12,1
V0,19,I0064,12,0,0,0
V0,20,I0125,0,0,0,1
V0,20,I0020,0,0,12,1
V0,20,I0065,12,0,0,0
V0,21,I0126,0,0,0,1
V0,21,I0021,0,0,12,1
V0,21,I0066,12,0,0,0
V0,22,I0127,0,0,0,1
V0,22,I0022,0,0,12,1
V0,22,I0067,12,0,0,0
V0,23,I0128,0,0,0,1
V0,23,I0023,0,0,12,1
V0,23,I0068,12,0,0,0
V0,24,I0129,0,0,0,1
V0,24,I0024,0,0,12,1
V0,24,I0069,12,0,0,0
V0,25,I0130,0,0,0,1
V0,25,I0025,0,0,12,1
V0,25,I0070,12,0,0,0
V0,26,I0131,0,0,0,1
V0,26,I0026,0,0,12,1
V0,26,I0071,12,0,0,0
V0,27,I0132,0,0,0,1
V0,27,I0027,0,0,12,1
V0,27,I0072,12,0,0,0
V0,28,I0133,0,0,0,1
V0,28,I0028,0,0,12,1
V0,28,I0073,12,0,0,0
V0,29,I0134,0,0,0,1
V0,29,I0029,0,0,12,1
V0,29,I0074,12,0,0,0
V0,30,I0135,0,0,0,1
V0,30,I0030,0,0,12,1
V0,30,I0075,12,0,0,0
V0,31,I0136,0,0,0,1
V0,31,I0031,0,0,12,1
V0,31,I0076,12,0,0,0
V0,32,I0137,0,0,0,1
V0,32,I0032,0,0,12,1
V0,32,I0077,12,0,0,0
V0,33,I0138,0,0,0,1
V0,33,I0033,0,0,12,1
V0,33,I0078,12,0,0,0
V0,34,I0139,0,0,0,1
V0,34,I0034,0,0,12,1
V0,34,I0079,12,0,0,0
V0,35,I0140,0,0,0,1
V0,35,I0035,0,0,12,1
V0,35,I0080,12,0,0,0
V0,36,I0141,0,0,0,1
V0,36,I0036,0,0,12,1
V0,36,I0081,12,0,0,0
V0,37,I0142,0,0,0,1
V0,37,I0037,0,0,12,1
V0,37,I0082,12,0,0,0
V0,38,I0143,0,0,0,1
V0,38,I0038,0,0,12,1
V0,38,I0083,12,0,0,0
V0,39,I0144,0,0,0,1
V0,39,I0039,0,0,12,1
V0,39,I0084,12,0,0,0
V0,40,I0145,0,0,0,1
V0,40,I0040,0,0,12,1
