type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0,0,0,4
V0,0,I0106,0,0,8,4
V0,0,I0107,12,0,0,4
V0,0,I0108,12,0,8,4
V0,1,I0109,0,0,0,4
V0,1,I0110,0,0,8,4
V0,1,I0111,12,0,0,4
V0,1,I0112,12,0,8,4
V0,2,I0113,0,0,0,4
V0,2,I0114,0,0,8,4
V0,2,I0115,12,0,0,4
V0,2,I0116,12,0,8,4
V0,3,I0117,0,0,0,4
V0,3,I0118,0,0,8,4
V0,3,I0119,12,0,0,4
V0,3,I0120,12,0,8,4
V0,4,I0121,0,0,0,4
V0,4,I0122,0,0,8,4
V0,4,I0123,12,0,0,4
V0,4,I0124,12,0,8,4
V0,5,I0125,0,0,0,4
V0,5,I0126,0,0,8,4
V0,5,I0127,12,0,0,4
V0,5,I0128,12,0,8,4
V0,6,I0129,0,0,0,4
V0,6,I0130,0,0,8,4
V0,6,I0131,12,0,0,4
V0,6,I0132,12,0,8,4
V0,7,I0133,0,0,0,4
V0,7,I0134,0,0,8,4
V0,7,I0135,12,0,0,4
V0,7,I0136,12,0,8,4
V0,8,I0137,0,0,0,4
V0,8,I0138,0,0,8,4
V0,8,I0139,12,0,0,4
V0,8,I0140,12,0,8,4
V0,9,I0141,0,0,0,4
V0,9,I0142,0,0,8,4
V0,9,I0143,12,0,0,4
V0,9,I0144,12,0,8,4
V0,10,I0145,0,0,0,4
V0,10,I0146,0,0,8,4
V0,10,I0147,12,0,0,4
V0,10,I0148,12,0,8,4
V0,11,I0149,0,0,0,4
V0,11,I0150,0,0,8,4
V0,11,I0151,12,0,0,4
V0,11,I0152,12,0,8,4
V0,12,I0153,0,0,0,4
V0,12,I0154,0,0,8,4
V0,12,I0045,12,0,0,0
V0,12,I0046,12,0,8,0
V0,12,I0000,20,0,0,3
V0,12,I0001,12,8,0,2
V0,12,I0155,20,8,0,4
V0,13,I0047,0,0,0,0
V0,13,I0048,0,0,8,0
V0,13,I0049,8,0,0,0
V0,13,I0050,16,0,0,0
V0,13,I0051,8,0,8,0
V0,13,I0052,16,0,8,0
V0,13,I0002,0,8,0,2
V0,13,I0003,8,8,0,5
V0,13,I0004,8,8,8,5
V0,14,I0053,0,0,0,0
V0,14,I0054,0,0,8,0
V0,14,I0055,8,0,0,0
V0,14,I0056,16,0,0,0
V0,14,I0057,8,0,8,0
V0,14,I0058,16,0,8,0
V0,14,I0005,0,8,0,2
V0,14,I0006,8,8,0,5
V0,14,I0007,8,8,8,5
V0,15,I0059,0,0,0,0
V0,15,I0060,0,0,8,0
V0,15,I0061,8,0,0,0
V0,15,I0062,16,0,0,0
V0,15,I0063,8,0,8,0
V0,15,I0064,16,0,8,0
V0,15,I0008,0,8,0,2
V0,15,I0009,8,8,0,5
V0,15,I0010,8,8,8,5
V0,16,I0065,0,0,0,0
V0,16,I0066,0,0,8,0
V0,16,I0067,8,0,0,0
V0,16,I0068,16,0,0,0
V0,16,I0069,8,0,8,0
V0,16,I0070,16,0,8,0
V0,16,I0011,0,8,0,2
V0,16,I0012,8,8,0,5
V0,16,I0013,8,8,8,5
V0,17,I0071,0,0,0,0
V0,17,I0072,0,0,8,0
V0,17,I0073,8,0,0,0
V0,17,I0074,16,0,0,0
V0,17,I0075,8,0,8,0
V0,17,I0076,16,0,8,0
V0,17,I0014,0,8,0,2
V0,17,I0015,8,8,0,5
V0,17,I0016,8,8,8,5
V0,18,I0077,0,0,0,0
V0,18,I0078,0,0,8,0
V0,18,I0079,8,0,0,0
V0,18,I0080,16,0,0,0
V0,18,I0081,8,0,8,0
V0,18,I0082,16,0,8,0
V0,18,I0017,0,8,0,2
V0,18,I0018,8,8,0,5
V0,18,I0019,8,8,8,5
V0,19,I0083,0,0,0,0
V0,19,I0084,0,0,8,0
V0,19,I0085,8,0,0,0
V0,19,I0086,16,0,0,0
V0,19,I0087,8,0,8,0
V0,19,I0088,16,0,8,0
V0,19,I0020,0,8,0,2
V0,19,I0021,8,8,0,5
V0,19,I0022,8,8,8,5
V0,20,I0089,0,0,0,0
V0,20,I0090,0,0,8,0
V0,20,I0091,8,0,0,0
V0,20,I0092,16,0,0,0
V0,20,I0093,8,0,8,0
V0,20,I0094,16,0,8,0
V0,20,I0023,0,8,0,2
V0,20,I0024,8,8,0,5
V0,20,I0025,8,8,8,5
V0,21,I0095,0,0,0,0
V0,21,I0096,0,0,8,0
V0,21,I0097,8,0,0,0
V0,21,I0098,16,0,0,0
V0,21,I0099,8,0,8,0
V0,21,I0100,16,0,8,0
V0,21,I0026,0,8,0,2
V0,21,I0027,8,8,0,5
V0,21,I0028,8,8,8,5
V0,22,I0101,0,0,0,0
V0,22,I0102,0,0,8,0
V0,22,I0103,8,0,0,0
V0,22,I0104,16,0,0,0
V0,22,I0029,0,8,0,2
V0,22,I0030,8,8,0,5
V0,22,I0031,8,0,8,5
V0,22,I0032,8,4,8,1
V0,22,I0033,8,4,12,1
V0,23,I0034,0,0,0,2
V0,23,I0035,0,4,0,3
V0,23,I0036,4,4,0,3
V0,23,I0037,8,0,0,1
V0,23,I0038,8,8,0,5
V0,23,I0039,8,0,4,1
V0,23,I0040,8,0,8,5
V0,23,I0041,8,4,8,1
V0,23,I0042,8,4,12,1
V0,24,I0043,0,0,0,2
V0,24,I0044,0,4,0,3
V0,24,I0156,8,0,0,0
V0,24,I0157,20,0,0,1
V0,24,I0158,8,0,4,4
V0,24,I0159,12,0,4,0
V0,24,I0160,12,0,8,0
V0,24,I0161,12,0,12,0
V0,24,I0162,4,4,0,0
V0,24,I0163,4,8,0,0
V0,24,I0164,4,4,4,4
V0,24,I0165,4,8,4,4
V0,24,I0166,8,4,4,4
V0,24,I0167,8,8,4,4
V0,24,I0168,12,4,4,4
V0,24,I0169,12,8,4,4
V0,24,I0170,16,4,0,4
V0,24,I0171,16,8,0,4
V0,25,I0172,0,0,0,1
V0,25,I0173,4,0,0,1
V0,25,I0174,8,0,0,1
V0,25,I0175,12,0,0,0
V0,25,I0176,12,4,0,0
V0,25,I0177,12,8,0,0
V0,25,I0178,0,0,4,1
V0,25,I0179,4,0,4,1
